Total number of parameters: 5,364,256
{'epoch': 1, 'train_loss': 0.03297473738839229, 'self': '0.00396', 'value': '0.02902', 'val_loss': 0.01830814246347815, 'val_self': '0.00003', 'val_value': '0.01828', 'lr': '0.00040', 'step': 3000}
{'epoch': 2, 'train_loss': 0.01893453170390179, 'self': '0.00002', 'value': '0.01892', 'val_loss': 0.0166135026183987, 'val_self': '0.00001', 'val_value': '0.01660', 'lr': '0.00039', 'step': 6000}
{'epoch': 3, 'train_loss': 0.017079676721245052, 'self': '0.00001', 'value': '0.01707', 'val_loss': 0.01474384088489059, 'val_self': '0.00000', 'val_value': '0.01474', 'lr': '0.00039', 'step': 9000}
{'epoch': 4, 'train_loss': 0.01724829275843998, 'self': '0.00024', 'value': '0.01701', 'val_loss': 0.01402844969167939, 'val_self': '0.00000', 'val_value': '0.01403', 'lr': '0.00039', 'step': 12000}
{'epoch': 5, 'train_loss': 0.014966453483949104, 'self': '0.00000', 'value': '0.01496', 'val_loss': 0.013505035440712312, 'val_self': '0.00000', 'val_value': '0.01350', 'lr': '0.00039', 'step': 15000}
{'epoch': 6, 'train_loss': 0.01398787133085231, 'self': '0.00000', 'value': '0.01399', 'val_loss': 0.012400166215527742, 'val_self': '0.00000', 'val_value': '0.01240', 'lr': '0.00038', 'step': 18000}
{'epoch': 7, 'train_loss': 0.012956420626180867, 'self': '0.00000', 'value': '0.01296', 'val_loss': 0.011340113007463515, 'val_self': '0.00000', 'val_value': '0.01134', 'lr': '0.00038', 'step': 21000}
{'epoch': 8, 'train_loss': 0.011829295721525947, 'self': '0.00000', 'value': '0.01183', 'val_loss': 0.010402984766396464, 'val_self': '0.00000', 'val_value': '0.01040', 'lr': '0.00038', 'step': 24000}
{'epoch': 9, 'train_loss': 0.010975946473578612, 'self': '0.00000', 'value': '0.01098', 'val_loss': 0.009910598267480487, 'val_self': '0.00000', 'val_value': '0.00991', 'lr': '0.00037', 'step': 27000}
{'epoch': 10, 'train_loss': 0.010186011598135035, 'self': '0.00000', 'value': '0.01019', 'val_loss': 0.009211068439534025, 'val_self': '0.00000', 'val_value': '0.00921', 'lr': '0.00037', 'step': 30000}
{'epoch': 11, 'train_loss': 0.009409266491420567, 'self': '0.00000', 'value': '0.00941', 'val_loss': 0.008457719730060608, 'val_self': '0.00000', 'val_value': '0.00846', 'lr': '0.00037', 'step': 33000}
{'epoch': 12, 'train_loss': 0.008890704209450633, 'self': '0.00000', 'value': '0.00889', 'val_loss': 0.008035877129811122, 'val_self': '0.00000', 'val_value': '0.00804', 'lr': '0.00036', 'step': 36000}
{'epoch': 13, 'train_loss': 0.008493044847001632, 'self': '0.00000', 'value': '0.00849', 'val_loss': 0.007721907295072909, 'val_self': '0.00000', 'val_value': '0.00772', 'lr': '0.00036', 'step': 39000}
{'epoch': 14, 'train_loss': 0.008031382887934644, 'self': '0.00000', 'value': '0.00803', 'val_loss': 0.007304464979288092, 'val_self': '0.00000', 'val_value': '0.00730', 'lr': '0.00036', 'step': 42000}
{'epoch': 15, 'train_loss': 0.007701647277610997, 'self': '0.00000', 'value': '0.00770', 'val_loss': 0.007123170589425097, 'val_self': '0.00000', 'val_value': '0.00712', 'lr': '0.00036', 'step': 45000}
{'epoch': 16, 'train_loss': 0.007629156550237288, 'self': '0.00000', 'value': '0.00763', 'val_loss': 0.006816795066220411, 'val_self': '0.00000', 'val_value': '0.00682', 'lr': '0.00035', 'step': 48000}
{'epoch': 17, 'train_loss': 0.007180918330792338, 'self': '0.00000', 'value': '0.00718', 'val_loss': 0.006787101180888102, 'val_self': '0.00000', 'val_value': '0.00679', 'lr': '0.00035', 'step': 51000}
{'epoch': 18, 'train_loss': 0.007007968442359318, 'self': '0.00000', 'value': '0.00701', 'val_loss': 0.0067244988043609335, 'val_self': '0.00000', 'val_value': '0.00672', 'lr': '0.00035', 'step': 54000}
{'epoch': 19, 'train_loss': 0.007015193720503399, 'self': '0.00000', 'value': '0.00701', 'val_loss': 0.006700572980468574, 'val_self': '0.00000', 'val_value': '0.00670', 'lr': '0.00034', 'step': 57000}
{'epoch': 20, 'train_loss': 0.006680953679761539, 'self': '0.00000', 'value': '0.00668', 'val_loss': 0.006209083266945586, 'val_self': '0.00000', 'val_value': '0.00621', 'lr': '0.00034', 'step': 60000}
{'epoch': 21, 'train_loss': 0.006554005639161914, 'self': '0.00000', 'value': '0.00655', 'val_loss': 0.006198710875516971, 'val_self': '0.00000', 'val_value': '0.00620', 'lr': '0.00034', 'step': 63000}
{'epoch': 22, 'train_loss': 0.006413691371524086, 'self': '0.00000', 'value': '0.00641', 'val_loss': 0.006126985823178328, 'val_self': '0.00000', 'val_value': '0.00613', 'lr': '0.00033', 'step': 66000}
{'epoch': 23, 'train_loss': 0.006298125147198638, 'self': '0.00000', 'value': '0.00630', 'val_loss': 0.005966374802319181, 'val_self': '0.00000', 'val_value': '0.00597', 'lr': '0.00033', 'step': 69000}
{'epoch': 24, 'train_loss': 0.00618932670665284, 'self': '0.00000', 'value': '0.00619', 'val_loss': 0.005866069201624296, 'val_self': '0.00000', 'val_value': '0.00587', 'lr': '0.00033', 'step': 72000}
{'epoch': 25, 'train_loss': 0.006040866954096904, 'self': '0.00000', 'value': '0.00604', 'val_loss': 0.005643783851916001, 'val_self': '0.00000', 'val_value': '0.00564', 'lr': '0.00032', 'step': 75000}
{'epoch': 26, 'train_loss': 0.006000156093233576, 'self': '0.00000', 'value': '0.00600', 'val_loss': 0.005479620465222502, 'val_self': '0.00000', 'val_value': '0.00548', 'lr': '0.00032', 'step': 78000}
{'epoch': 27, 'train_loss': 0.005764483426387111, 'self': '0.00000', 'value': '0.00576', 'val_loss': 0.0054227291848739515, 'val_self': '0.00000', 'val_value': '0.00542', 'lr': '0.00032', 'step': 81000}
{'epoch': 28, 'train_loss': 0.005644791228075822, 'self': '0.00000', 'value': '0.00564', 'val_loss': 0.005264233530605914, 'val_self': '0.00000', 'val_value': '0.00526', 'lr': '0.00032', 'step': 84000}
{'epoch': 29, 'train_loss': 0.005505240119062364, 'self': '0.00000', 'value': '0.00550', 'val_loss': 0.005268273022041092, 'val_self': '0.00000', 'val_value': '0.00527', 'lr': '0.00031', 'step': 87000}
{'epoch': 30, 'train_loss': 0.005382475964880238, 'self': '0.00000', 'value': '0.00538', 'val_loss': 0.00503423387904224, 'val_self': '0.00000', 'val_value': '0.00503', 'lr': '0.00031', 'step': 90000}
{'epoch': 31, 'train_loss': 0.005248279016154508, 'self': '0.00000', 'value': '0.00525', 'val_loss': 0.0051395871836814235, 'val_self': '0.00000', 'val_value': '0.00514', 'lr': '0.00031', 'step': 93000}
{'epoch': 32, 'train_loss': 0.005125020552892238, 'self': '0.00000', 'value': '0.00512', 'val_loss': 0.004795001275345042, 'val_self': '0.00000', 'val_value': '0.00479', 'lr': '0.00030', 'step': 96000}
{'epoch': 33, 'train_loss': 0.005026587972339864, 'self': '0.00000', 'value': '0.00503', 'val_loss': 0.004722348535547919, 'val_self': '0.00000', 'val_value': '0.00472', 'lr': '0.00030', 'step': 99000}
{'epoch': 34, 'train_loss': 0.004919475223403424, 'self': '0.00000', 'value': '0.00492', 'val_loss': 0.004646191466027168, 'val_self': '0.00000', 'val_value': '0.00465', 'lr': '0.00030', 'step': 102000}
{'epoch': 35, 'train_loss': 0.004852551026114573, 'self': '0.00000', 'value': '0.00485', 'val_loss': 0.004521429242917382, 'val_self': '0.00000', 'val_value': '0.00452', 'lr': '0.00030', 'step': 105000}
{'epoch': 36, 'train_loss': 0.004759313297846044, 'self': '0.00000', 'value': '0.00476', 'val_loss': 0.00461897566546228, 'val_self': '0.00000', 'val_value': '0.00462', 'lr': '0.00029', 'step': 108000}
