Total number of parameters: 5,468,498
{'epoch': 1, 'train_loss': 0.5596539140343666, 'self': '0.00446', 'value': '0.55520', 'val_loss': 0.5560686703099579, 'val_self': '0.00004', 'val_value': '0.55603', 'lr': '0.00040', 'step': 3000}
{'epoch': 2, 'train_loss': 0.5376130965153376, 'self': '0.00002', 'value': '0.53759', 'val_loss': 0.5507164105284409, 'val_self': '0.00001', 'val_value': '0.55070', 'lr': '0.00040', 'step': 6000}
{'epoch': 3, 'train_loss': 0.5322010185718536, 'self': '0.00001', 'value': '0.53219', 'val_loss': 0.5486822769534393, 'val_self': '0.00002', 'val_value': '0.54866', 'lr': '0.00040', 'step': 9000}
{'epoch': 4, 'train_loss': 0.5278757702708244, 'self': '0.00000', 'value': '0.52787', 'val_loss': 0.5426655767149613, 'val_self': '0.00000', 'val_value': '0.54266', 'lr': '0.00040', 'step': 12000}
{'epoch': 5, 'train_loss': 0.5235761744777362, 'self': '0.00000', 'value': '0.52357', 'val_loss': 0.5387342132505823, 'val_self': '0.00000', 'val_value': '0.53873', 'lr': '0.00040', 'step': 15000}
{'epoch': 6, 'train_loss': 0.5191148036519686, 'self': '0.00000', 'value': '0.51911', 'val_loss': 0.5359605316255913, 'val_self': '0.00000', 'val_value': '0.53596', 'lr': '0.00040', 'step': 18000}
{'epoch': 7, 'train_loss': 0.5160785167614619, 'self': '0.00000', 'value': '0.51608', 'val_loss': 0.5333716783855782, 'val_self': '0.00000', 'val_value': '0.53337', 'lr': '0.00040', 'step': 21000}
{'epoch': 8, 'train_loss': 0.5142964293062687, 'self': '0.00000', 'value': '0.51430', 'val_loss': 0.5323309456227255, 'val_self': '0.00000', 'val_value': '0.53233', 'lr': '0.00040', 'step': 24000}
{'epoch': 9, 'train_loss': 0.512351509710153, 'self': '0.00000', 'value': '0.51235', 'val_loss': 0.5300727062782303, 'val_self': '0.00000', 'val_value': '0.53007', 'lr': '0.00040', 'step': 27000}
{'epoch': 10, 'train_loss': 0.510982991228501, 'self': '0.00000', 'value': '0.51098', 'val_loss': 0.5298553879876606, 'val_self': '0.00000', 'val_value': '0.52986', 'lr': '0.00040', 'step': 30000}
{'epoch': 11, 'train_loss': 0.5098994927008946, 'self': '0.00000', 'value': '0.50990', 'val_loss': 0.5283458146159766, 'val_self': '0.00000', 'val_value': '0.52835', 'lr': '0.00040', 'step': 33000}
{'epoch': 12, 'train_loss': 0.5092740192015965, 'self': '0.00000', 'value': '0.50927', 'val_loss': 0.5272684637151781, 'val_self': '0.00000', 'val_value': '0.52727', 'lr': '0.00040', 'step': 36000}
